;fixture_id;date;season;league_id;league_name;league_logo;country_name;country_logo;home_team_id;home_team_name;home_team_img;away_team_id;away_team_name;away_team_img;home_goals;away_goals;home_shots_on_goal;home_shots_off_goal;home_total_shots;home_blocked_shots;home_shots_insidebox;home_shots_outsidebox;home_fouls;home_corner_kicks;home_offsides;home_ball_possession;home_yellow_cards;home_red_cards;home_goalkeeper_saves;home_total_passes;home_passes_accurate;home_passes_percentage;away_shots_on_goal;away_shots_off_goal;away_total_shots;away_blocked_shots;away_shots_insidebox;away_shots_outsidebox;away_fouls;away_corner_kicks;away_offsides;away_ball_possession;away_yellow_cards;away_red_cards;away_goalkeeper_saves;away_total_passes;away_passes_accurate;away_passes_percentage
2674;214036;2019-08-24T19:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;538;Celta Vigo;https://media-1.api-sports.io/football/teams/538.png;532;Valencia;https://media-1.api-sports.io/football/teams/532.png;1;0;6;1;11;4;9;2;8;6;2;55%;1;;1;509;432;85%;1;5;9;3;6;3;12;4;1;45%;2;;5;409;337;82%
2675;214037;2019-08-24T19:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;546;Getafe;https://media-3.api-sports.io/football/teams/546.png;531;Athletic Club;https://media-1.api-sports.io/football/teams/531.png;1;1;2;4;6;;3;3;15;4;;46%;2;;1;320;176;55%;2;1;4;1;4;;11;6;3;54%;1;;1;375;232;62%
2676;214038;2019-08-25T15:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;542;Alaves;https://media-1.api-sports.io/football/teams/542.png;540;Espanyol;https://media-2.api-sports.io/football/teams/540.png;0;0;2;7;10;1;7;3;13;3;2;35%;3;;1;309;238;77%;1;3;5;1;3;2;10;5;1;65%;1;;2;575;485;84%
2677;214039;2019-08-25T15:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;798;Mallorca;https://media-2.api-sports.io/football/teams/798.png;548;Real Sociedad;https://media-3.api-sports.io/football/teams/548.png;0;1;4;5;12;3;7;5;16;5;1;34%;1;;3;284;213;75%;4;4;12;4;7;5;12;5;;66%;2;;4;557;481;86%
2678;214040;2019-08-25T19:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;529;Barcelona;https://media-2.api-sports.io/football/teams/529.png;543;Real Betis;https://media-3.api-sports.io/football/teams/543.png;5;2;7;4;20;9;16;4;14;11;4;70%;1;;1;789;719;91%;3;;4;1;1;3;12;;2;30%;1;;2;330;259;78%
2679;214041;2019-08-25T17:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;537;Leganes;https://media-3.api-sports.io/football/teams/537.png;530;Atletico Madrid;https://media-2.api-sports.io/football/teams/530.png;0;1;4;4;10;2;5;5;12;9;3;41%;4;;3;338;240;71%;4;2;6;;4;2;13;4;4;59%;5;;5;503;401;80%
2680;214042;2019-08-30T18:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;536;Sevilla;https://media-2.api-sports.io/football/teams/536.png;538;Celta Vigo;https://media-2.api-sports.io/football/teams/538.png;1;1;5;10;19;4;14;5;16;9;2;63%;4;;;589;519;88%;1;;2;1;1;1;9;1;;37%;2;;4;355;291;82%
2681;214043;2019-08-30T20:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;531;Athletic Club;https://media-1.api-sports.io/football/teams/531.png;548;Real Sociedad;https://media-3.api-sports.io/football/teams/548.png;2;0;5;8;15;2;8;7;17;3;2;39%;2;;2;311;225;72%;2;;2;;1;1;17;;2;61%;3;;3;486;391;80%
2682;214044;2019-08-31T15:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;727;Osasuna;https://media-2.api-sports.io/football/teams/727.png;529;Barcelona;https://media-2.api-sports.io/football/teams/529.png;2;2;5;6;15;4;8;7;16;3;;25%;3;;2;240;151;63%;4;1;8;3;3;5;9;2;1;75%;4;;3;729;633;87%
2683;214045;2019-08-31T17:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;546;Getafe;https://media-2.api-sports.io/football/teams/546.png;542;Alaves;https://media-2.api-sports.io/football/teams/542.png;1;1;1;7;15;7;8;7;11;4;3;61%;3;;;431;305;71%;1;2;5;2;4;1;17;2;5;39%;1;;;282;164;58%
2684;214046;2019-08-31T17:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;539;Levante;https://media-1.api-sports.io/football/teams/539.png;720;Valladolid;https://media-3.api-sports.io/football/teams/720.png;2;0;3;9;16;4;8;8;9;6;2;50%;2;;3;350;271;77%;3;9;15;3;8;7;10;6;2;50%;2;;1;347;262;76%
2685;214047;2019-08-31T19:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;543;Real Betis;https://media-3.api-sports.io/football/teams/543.png;537;Leganes;https://media-2.api-sports.io/football/teams/537.png;2;1;5;8;17;4;11;6;14;11;3;68%;4;;7;495;414;84%;7;6;19;6;10;9;15;8;1;32%;2;;3;213;142;67%
2686;214048;2019-09-01T15:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;532;Valencia;https://media-2.api-sports.io/football/teams/532.png;798;Mallorca;https://media-2.api-sports.io/football/teams/798.png;2;0;4;2;9;3;6;3;6;7;3;50%;;;1;459;396;86%;1;6;12;5;7;5;19;4;;50%;1;;2;435;385;89%
2687;214049;2019-09-01T17:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;530;Atletico Madrid;https://media-2.api-sports.io/football/teams/530.png;545;Eibar;https://media-1.api-sports.io/football/teams/545.png;3;2;3;3;7;1;6;1;9;1;9;56%;;;;447;347;78%;2;4;6;;4;2;15;1;;44%;3;;;341;230;67%
2688;214050;2019-09-01T17:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;540;Espanyol;https://media-3.api-sports.io/football/teams/540.png;715;Granada CF;https://media-1.api-sports.io/football/teams/715.png;0;3;3;6;15;6;12;3;6;8;;67%;2;;3;592;506;85%;6;3;14;5;5;9;13;6;1;33%;3;;3;290;193;67%
2689;214051;2019-09-01T19:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;533;Villarreal;https://media-2.api-sports.io/football/teams/533.png;541;Real Madrid;https://media-1.api-sports.io/football/teams/541.png;2;2;5;3;10;2;8;2;8;1;1;43%;1;;3;438;356;81%;5;10;17;2;9;8;14;8;2;57%;4;1;3;551;488;89%
2690;214052;2019-09-15T12:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;542;Alaves;https://media-1.api-sports.io/football/teams/542.png;536;Sevilla;https://media-2.api-sports.io/football/teams/536.png;0;1;;6;7;1;5;2;13;2;1;38%;5;;6;345;246;71%;7;2;19;10;10;9;7;6;4;62%;5;;;575;486;85%
2691;214053;2019-09-14T19:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;529;Barcelona;https://media-2.api-sports.io/football/teams/529.png;532;Valencia;https://media-2.api-sports.io/football/teams/532.png;5;2;10;4;17;3;8;9;11;2;;64%;1;;1;769;706;92%;3;4;9;2;6;3;11;5;;36%;4;;5;412;352;85%
2692;214054;2019-09-15T19:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;543;Real Betis;https://media-1.api-sports.io/football/teams/543.png;546;Getafe;https://media-2.api-sports.io/football/teams/546.png;1;1;2;2;7;3;2;5;11;5;7;61%;3;2;3;394;319;81%;4;3;12;5;8;4;28;6;5;39%;6;;1;238;155;65%
2693;214055;2019-09-15T14:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;538;Celta Vigo;https://media-2.api-sports.io/football/teams/538.png;715;Granada CF;https://media-3.api-sports.io/football/teams/715.png;0;2;;4;4;;2;2;11;3;1;37%;4;2;1;291;232;80%;3;7;13;3;5;8;13;5;2;63%;2;;;479;427;89%
2694;214056;2019-09-15T10:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;545;Eibar;https://media-2.api-sports.io/football/teams/545.png;540;Espanyol;https://media-2.api-sports.io/football/teams/540.png;1;2;1;7;11;3;7;4;14;7;2;58%;2;;;382;261;68%;2;5;7;;5;2;16;2;3;42%;4;1;;291;164;56%
2695;214057;2019-09-14T14:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;537;Leganes;https://media-2.api-sports.io/football/teams/537.png;533;Villarreal;https://media-3.api-sports.io/football/teams/533.png;0;3;4;2;10;4;3;7;14;8;3;48%;2;;1;420;339;81%;4;3;8;1;6;2;11;6;;52%;;;4;456;371;81%
2696;214058;2019-09-13T19:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;798;Mallorca;https://media-3.api-sports.io/football/teams/798.png;531;Athletic Club;https://media-2.api-sports.io/football/teams/531.png;0;0;1;7;10;2;7;3;15;4;4;47%;4;;5;302;225;75%;5;5;11;1;5;6;18;6;2;53%;3;;1;351;270;77%
2697;214059;2019-09-14T11:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;541;Real Madrid;https://media-1.api-sports.io/football/teams/541.png;539;Levante;https://media-3.api-sports.io/football/teams/539.png;3;2;11;8;25;6;16;9;13;9;4;65%;2;;1;632;574;91%;3;5;8;;7;1;10;6;2;35%;2;;8;324;257;79%
2698;214060;2019-09-14T16:30:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;548;Real Sociedad;https://media-2.api-sports.io/football/teams/548.png;530;Atletico Madrid;https://media-2.api-sports.io/football/teams/530.png;2;0;5;6;14;3;10;4;13;5;3;53%;1;;2;471;380;81%;2;8;12;2;10;2;10;5;4;47%;3;;3;402;312;78%
2699;214061;2019-09-15T16:30:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;720;Valladolid;https://media-1.api-sports.io/football/teams/720.png;727;Osasuna;https://media-3.api-sports.io/football/teams/727.png;1;1;1;4;11;6;5;6;9;10;1;49%;;;4;373;279;75%;5;11;17;1;10;7;10;6;;51%;1;;;391;305;78%
2700;214062;2019-09-22T16:30:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;531;Athletic Club;https://media-3.api-sports.io/football/teams/531.png;542;Alaves;https://media-2.api-sports.io/football/teams/542.png;2;0;4;7;12;1;7;5;11;3;2;56%;1;;1;518;413;80%;1;4;5;;2;3;19;2;;44%;4;;2;389;287;74%
2701;214063;2019-09-21T16:30:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;530;Atletico Madrid;https://media-3.api-sports.io/football/teams/530.png;538;Celta Vigo;https://media-3.api-sports.io/football/teams/538.png;0;0;5;10;20;5;13;7;14;13;3;48%;3;;3;415;351;85%;3;1;6;2;3;3;12;3;2;52%;5;;5;443;366;83%
2702;214064;2019-09-22T12:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;540;Espanyol;https://media-1.api-sports.io/football/teams/540.png;548;Real Sociedad;https://media-3.api-sports.io/football/teams/548.png;1;3;3;9;17;5;9;8;7;5;2;55%;1;;2;481;397;83%;5;3;10;2;8;2;12;7;2;45%;;;3;384;291;76%
2703;214065;2019-09-22T10:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;546;Getafe;https://media-1.api-sports.io/football/teams/546.png;798;Mallorca;https://media-3.api-sports.io/football/teams/798.png;4;2;5;5;14;4;9;5;15;7;2;49%;4;;1;274;165;60%;3;2;7;2;3;4;17;2;2;51%;5;;2;291;186;64%
2704;214066;2019-09-21T19:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;715;Granada CF;https://media-2.api-sports.io/football/teams/715.png;529;Barcelona;https://media-2.api-sports.io/football/teams/529.png;2;0;4;5;9;;3;6;22;4;1;26%;3;;1;229;149;65%;1;1;8;6;4;4;12;5;1;74%;2;;2;657;581;88%
2705;214067;2019-09-21T14:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;539;Levante;https://media-1.api-sports.io/football/teams/539.png;545;Eibar;https://media-2.api-sports.io/football/teams/545.png;0;0;4;5;13;4;9;4;9;6;5;58%;;;4;424;324;76%;4;12;18;2;10;8;11;7;4;42%;2;;4;289;201;70%
2706;214068;2019-09-20T19:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;727;Osasuna;https://media-3.api-sports.io/football/teams/727.png;543;Real Betis;https://media-2.api-sports.io/football/teams/543.png;0;0;6;5;12;1;9;3;15;9;4;48%;1;;2;351;276;79%;2;3;7;2;5;2;9;4;1;52%;2;;6;396;306;77%
2707;214069;2019-09-22T19:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;536;Sevilla;https://media-1.api-sports.io/football/teams/536.png;541;Real Madrid;https://media-3.api-sports.io/football/teams/541.png;0;1;;8;9;1;7;2;16;9;2;54%;3;;3;536;457;85%;4;3;7;;5;2;15;6;1;46%;2;;;458;372;81%
2708;214070;2019-09-22T14:00:00+00:00;2019;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2019;532;Valencia;https://media-1.api-sports.io/football/teams/532.png;537;Leganes;https://media-3.api-sports.io/football/teams/537.png;1;1;4;5;13;4;6;7;14;6;;62%;3;;3;543;470;87%;4;4;13;5;7;6;23;6;1;38%;4;;3;325;253;78%
2709;214071;2019-09-21T11:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;533;Villarreal;https://media-2.api-sports.io/football/teams/533.png;720;Valladolid;https://media-2.api-sports.io/football/teams/720.png;2;0;6;5;18;7;12;6;12;4;1;60%;2;;2;527;462;88%;3;1;7;3;2;5;8;8;1;40%;1;;4;340;250;74%
2710;214072;2019-09-24T19:00:00+00:00;2019;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2019;529;Barcelona;https://media-3.api-sports.io/football/teams/529.png;533;Villarreal;https://media-3.api-sports.io/football/teams/533.png;2;1;4;3;8;1;6;2;4;6;4;57%;4;;2;638;561;88%;3;3;11;5;5;6;13;5;3;43%;2;;2;473;395;84%
2711;214073;2019-09-24T18:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;543;Real Betis;https://media-1.api-sports.io/football/teams/543.png;539;Levante;https://media-3.api-sports.io/football/teams/539.png;3;1;5;9;17;3;13;4;11;5;1;57%;2;;2;495;438;88%;3;9;17;5;12;5;11;2;3;43%;2;;2;378;312;83%
2712;214074;2019-09-26T18:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;538;Celta Vigo;https://media-2.api-sports.io/football/teams/538.png;540;Espanyol;https://media-2.api-sports.io/football/teams/540.png;1;1;3;7;14;4;9;5;5;6;;63%;2;;3;662;591;89%;4;3;10;3;7;3;17;4;;37%;5;;2;387;302;78%
2713;214075;2019-09-26T17:00:00+00:00;2019;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2019;545;Eibar;https://media-3.api-sports.io/football/teams/545.png;536;Sevilla;https://media-3.api-sports.io/football/teams/536.png;3;2;4;5;11;2;5;6;11;3;;46%;3;;1;401;299;75%;4;3;7;;5;2;19;1;2;54%;4;;1;484;368;76%
